transaction_id,customer_id,order_date,total_amount,status,payment_method,channel,store_id,promotion_id,discount_amount,,,,,quantity,price
36,653,2024-01-17 17:29:00,15.2,Pending,Cash,In-store,2,NULL,0,,,,,5,3.04
37,710,2023-11-25 16:35:00,13.64,Pending,Credit Card,Online,NULL,4,1.52,,,,,4,3.41
38,472,2024-02-05 13:32:00,3.43,Pending,Cash,In-store,2,NULL,0,,,,,1,3.43
39,470,2023-09-15 13:18:00,17.32,Pending,Credit Card,In-store,2,NULL,0,,,,,4,4.33
40,440,2023-08-16 19:03:00,14.96,Pending,Credit Card,Online,NULL,NULL,0,,,,,4,3.74
41,281,2023-09-17 16:15:00,3.04,Pending,Cash,In-store,3,3,0.9,,,,,1,3.04
42,692,2023-07-21 18:38:00,3.04,Pending,Mobile Pay,In-store,3,NULL,0,,,,,1,3.04
43,155,2023-08-30 17:48:00,25.92,Pending,Credit Card,In-store,3,NULL,0,,,,,4,6.48
44,606,2023-08-11 13:49:00,10.12,Pending,Cash,Online,NULL,NULL,0,,,,,2,5.06
45,360,2024-01-09 20:23:00,3.74,Pending,Mobile Pay,In-store,2,NULL,0,,,,,1,3.74
46,455,2023-09-09 08:18:00,3.74,Pending,Credit Card,In-store,1,NULL,0,,,,,1,3.74
47,455,2023-10-13 09:37:00,14.96,Pending,Mobile Pay,Online,NULL,3,4.38,,,,,4,3.74
48,162,2024-05-17 13:54:00,29.8,Pending,Credit Card,In-store,3,NULL,0,,,,,5,5.96
49,119,2024-05-08 09:58:00,12.96,Pending,Mobile Pay,Online,NULL,NULL,0,,,,,2,6.48
50,567,2023-12-04 16:01:00,14.15,Pending,Cash,In-store,3,NULL,0,,,,,5,2.83
51,147,2024-04-05 10:42:00,12.99,Pending,Mobile Pay,Online,NULL,NULL,0,,,,,3,4.33
52,462,2024-05-21 11:21:00,5.66,Pending,Credit Card,In-store,1,NULL,0,,,,,2,2.83
53,502,2023-10-27 10:42:00,3.78,Pending,Credit Card,Online,NULL,3,1.09,,,,,1,3.78
54,261,2023-12-09 11:22:00,12.34,Pending,Credit Card,Online,NULL,NULL,0,,,,,2,6.17
55,388,2023-12-08 17:26:00,23.84,Pending,Credit Card,In-store,1,NULL,0,,,,,4,5.96
56,630,2023-09-30 18:40:00,10.29,Pending,Credit Card,In-store,2,1,1.59,,,,,3,3.43
57,124,2023-09-18 12:43:00,18.15,Pending,Cash,In-store,3,NULL,0,,,,,5,3.63
58,669,2023-10-13 08:30:00,4.33,Pending,Mobile Pay,In-store,1,1,0.82,,,,,1,4.33
59,367,2024-04-21 17:17:00,27.65,Pending,Mobile Pay,Online,NULL,NULL,0,,,,,5,5.53
60,560,2024-02-14 12:58:00,24.32,Pending,Cash,Online,NULL,NULL,0,,,,,8,3.04
61,149,2024-02-25 12:40:00,8.88,Pending,Cash,In-store,1,NULL,0,,,,,3,2.96
62,477,2023-08-15 11:27:00,6.38,Pending,Mobile Pay,In-store,1,NULL,0,,,,,1,6.38
63,130,2023-12-10 20:22:00,24.68,Pending,Mobile Pay,Online,NULL,NULL,0,,,,,4,6.17
64,322,2024-03-03 15:31:00,19.28,Pending,Mobile Pay,Online,NULL,NULL,0,,,,,4,4.82
65,495,2023-08-31 08:11:00,13.72,Pending,Mobile Pay,In-store,2,NULL,0,,,,,4,3.43
66,556,2024-03-08 14:52:00,4.89,Pending,Credit Card,In-store,2,NULL,0,,,,,1,4.89
67,220,2023-10-31 13:49:00,4.89,Pending,Cash,In-store,1,4,0.64,,,,,1,4.89
68,559,2023-08-25 13:26:00,12.96,Pending,Cash,Online,NULL,4,1.93,,,,,2,6.48
69,124,2023-07-14 19:01:00,18.5,Pending,Credit Card,In-store,1,NULL,0,,,,,5,3.7
70,273,2023-06-07 11:39:00,5.53,Pending,Mobile Pay,In-store,3,NULL,0,,,,,1,5.53
71,682,2024-01-23 19:18:00,7.48,Pending,Credit Card,Online,NULL,2,1.83,,,,,2,3.74
72,282,2024-06-01 15:32:00,3.51,Pending,Cash,In-store,2,NULL,0,,,,,1,3.51
73,151,2023-12-31 19:26:00,10.53,Pending,Credit Card,Online,NULL,5,1.16,,,,,3,3.51
74,308,2023-06-07 12:03:00,17.55,Pending,Mobile Pay,Online,NULL,4,1.8,,,,,5,3.51
75,491,2024-05-06 18:24:00,14.15,Pending,Mobile Pay,In-store,1,NULL,0,,,,,5,2.83
76,607,2024-03-30 19:20:00,17.05,Pending,Credit Card,Online,NULL,NULL,0,,,,,5,3.41
77,163,2024-04-30 17:45:00,3.41,Pending,Credit Card,In-store,3,2,0.75,,,,,1,3.41
78,493,2023-09-23 18:55:00,24.45,Pending,Cash,In-store,3,NULL,0,,,,,5,4.89
79,255,2024-02-24 17:36:00,4.32,Pending,Credit Card,In-store,3,5,0.8,,,,,1,4.32
80,20,2023-10-02 15:42:00,23.3,Pending,Mobile Pay,In-store,2,4,3.88,,,,,5,4.66
81,350,2023-06-14 17:35:00,19.14,Pending,Cash,In-store,3,NULL,0,,,,,3,6.38
82,617,2024-06-04 11:56:00,24.45,Pending,Credit Card,Online,NULL,NULL,0,,,,,5,4.89
83,654,2024-01-12 14:13:00,4.66,Pending,Mobile Pay,Online,NULL,NULL,0,,,,,1,4.66
84,554,2024-01-16 16:51:00,3.41,Pending,Cash,In-store,2,NULL,0,,,,,1,3.41
85,277,2023-06-15 20:28:00,18.64,Pending,Credit Card,In-store,2,1,4.11,,,,,4,4.66
86,597,2023-11-23 09:42:00,17.05,Pending,Cash,Online,NULL,3,3.78,,,,,5,3.41
87,614,2023-12-06 08:49:00,3.7,Pending,Credit Card,In-store,3,NULL,0,,,,,1,3.7
88,703,2024-01-13 20:18:00,12.96,Pending,Mobile Pay,Online,NULL,NULL,0,,,,,2,6.48
89,345,2023-11-22 14:41:00,6.86,Pending,Mobile Pay,Online,NULL,3,0.94,,,,,2,3.43
90,562,2024-03-24 08:00:00,4.89,Pending,Credit Card,Online,NULL,NULL,0,,,,,1,4.89
91,561,2024-03-13 12:02:00,18.51,Pending,Mobile Pay,Online,NULL,NULL,0,,,,,3,6.17
92,287,2023-08-01 14:11:00,17.32,Pending,Credit Card,Online,NULL,NULL,0,,,,,4,4.33
93,238,2023-11-04 12:36:00,14.04,Pending,Credit Card,In-store,2,NULL,0,,,,,4,3.51
94,438,2023-08-20 08:06:00,19.28,Pending,Credit Card,Online,NULL,NULL,0,,,,,4,4.82
95,544,2023-09-08 11:55:00,13.98,Pending,Cash,In-store,3,2,3.01,,,,,3,4.66
96,270,2023-10-11 08:50:00,13.64,Pending,Cash,In-store,1,NULL,0,,,,,4,3.41
97,515,2023-11-19 17:30:00,5.66,Pending,Mobile Pay,Online,NULL,NULL,0,,,,,2,2.83
98,345,2024-01-30 19:03:00,19.14,Pending,Cash,In-store,2,NULL,0,,,,,3,6.38
99,460,2023-10-24 10:26:00,10.29,Pending,Cash,Online,NULL,NULL,0,,,,,3,3.43
100,601,2024-04-06 20:04:00,7.02,Pending,Credit Card,In-store,1,NULL,0,,,,,2,3.51
101,117,2023-11-01 10:37:00,10.89,Pending,Mobile Pay,Online,NULL,NULL,0,,,,,3,3.63
102,527,2023-11-05 11:26:00,6.08,Pending,Cash,Online,NULL,2,1.11,,,,,2,3.04
103,142,2023-07-16 16:11:00,11.32,Pending,Cash,Online,NULL,3,2.59,,,,,4,2.83
104,229,2023-09-05 17:33:00,9.32,Pending,Credit Card,In-store,1,NULL,0,,,,,2,4.66
105,362,2023-07-08 18:12:00,3.51,Pending,Mobile Pay,Online,NULL,3,0.37,,,,,1,3.51
106,215,2023-08-14 12:08:00,24.45,Pending,Cash,Online,NULL,NULL,0,,,,,5,4.89
107,361,2024-05-16 09:21:00,9.12,Pending,Credit Card,Online,NULL,NULL,0,,,,,3,3.04
108,542,2023-07-30 14:05:00,11.34,Pending,Cash,In-store,2,NULL,0,,,,,3,3.78
109,151,2023-08-22 11:04:00,3.51,Pending,Mobile Pay,Online,NULL,NULL,0,,,,,1,3.51
110,40,2023-08-08 16:29:00,7.26,Pending,Mobile Pay,In-store,1,NULL,0,,,,,2,3.63
111,711,2023-08-12 10:28:00,24.45,Pending,Cash,In-store,3,NULL,0,,,,,5,4.89
112,283,2023-11-27 09:09:00,14.8,Pending,Mobile Pay,Online,NULL,NULL,0,,,,,4,3.7
113,33,2023-06-12 17:08:00,11.92,Pending,Cash,Online,NULL,NULL,0,,,,,2,5.96
114,480,2023-06-19 12:41:00,8.88,Pending,Credit Card,Online,NULL,NULL,0,,,,,3,2.96
115,271,2023-11-06 18:38:00,18.51,Pending,Mobile Pay,Online,NULL,NULL,0,,,,,3,6.17
116,74,2023-08-10 08:21:00,13.98,Pending,Credit Card,Online,NULL,NULL,0,,,,,3,4.66
117,276,2023-11-03 20:48:00,12.96,Pending,Credit Card,In-store,2,NULL,0,,,,,2,6.48
118,420,2023-09-18 09:31:00,10.23,Pending,Credit Card,Online,NULL,NULL,0,,,,,3,3.41
119,400,2024-05-08 13:18:00,11.1,Pending,Credit Card,Online,NULL,3,3,,,,,3,3.7
120,319,2024-05-30 18:13:00,11.84,Pending,Cash,Online,NULL,NULL,0,,,,,4,2.96
121,601,2023-10-15 10:39:00,3.43,Pending,Credit Card,Online,NULL,NULL,0,,,,,1,3.43
122,339,2024-04-03 19:50:00,8.88,Pending,Cash,Online,NULL,NULL,0,,,,,3,2.96
123,122,2024-02-21 09:04:00,14.96,Pending,Cash,Online,NULL,4,1.82,,,,,4,3.74
124,646,2024-05-22 18:31:00,31.9,Pending,Cash,Online,NULL,3,8.96,,,,,5,6.38
125,216,2023-07-16 19:34:00,19.56,Pending,Cash,In-store,3,NULL,0,,,,,4,4.89
126,226,2024-03-04 10:30:00,14.46,Pending,Mobile Pay,In-store,1,NULL,0,,,,,3,4.82
127,120,2024-04-19 18:08:00,20.56,Pending,Credit Card,Online,NULL,NULL,0,,,,,4,5.14
128,608,2023-10-06 10:37:00,14.15,Pending,Credit Card,Online,NULL,3,2.3,,,,,5,2.83
129,14,2023-07-23 08:43:00,10.53,Pending,Mobile Pay,In-store,3,NULL,0,,,,,3,3.51
130,376,2023-07-08 20:23:00,7.26,Pending,Credit Card,In-store,2,NULL,0,,,,,2,3.63
131,129,2024-01-26 20:51:00,11.32,Pending,Cash,In-store,2,NULL,0,,,,,4,2.83
132,565,2024-02-29 12:53:00,7.48,Pending,Mobile Pay,In-store,3,NULL,0,,,,,2,3.74
133,167,2023-08-22 20:07:00,21.65,Pending,Mobile Pay,Online,NULL,NULL,0,,,,,5,4.33
134,261,2024-03-01 16:32:00,18.64,Pending,Mobile Pay,In-store,2,NULL,0,,,,,4,4.66
135,338,2024-02-14 11:27:00,29.8,Pending,Mobile Pay,Online,NULL,NULL,0,,,,,5,5.96
136,251,2024-05-17 19:36:00,6.08,Pending,Credit Card,Online,NULL,NULL,0,,,,,2,3.04
137,475,2024-01-15 10:52:00,25.3,Pending,Credit Card,In-store,1,NULL,0,,,,,5,5.06
138,385,2023-06-30 18:37:00,9.78,Pending,Cash,Online,NULL,NULL,0,,,,,2,4.89
139,662,2023-06-18 17:13:00,10.89,Pending,Mobile Pay,Online,NULL,NULL,0,,,,,3,3.63
140,303,2023-10-01 18:02:00,21.6,Pending,Credit Card,In-store,2,NULL,0,,,,,5,4.32
141,245,2023-09-05 10:01:00,13.98,Pending,Mobile Pay,In-store,1,NULL,0,,,,,3,4.66
142,188,2024-02-06 09:22:00,15.12,Pending,Mobile Pay,Online,NULL,NULL,0,,,,,4,3.78
143,258,2023-09-22 17:33:00,10.23,Pending,Cash,In-store,3,3,1.57,,,,,3,3.41
144,326,2023-07-13 20:28:00,5.53,Pending,Credit Card,In-store,2,2,1.65,,,,,1,5.53
145,443,2024-02-17 20:21:00,3.74,Pending,Mobile Pay,In-store,1,NULL,0,,,,,1,3.74
146,114,2023-07-09 20:31:00,12.99,Pending,Cash,Online,NULL,NULL,0,,,,,3,4.33
147,311,2023-11-21 18:08:00,7.4,Pending,Credit Card,In-store,3,2,1.08,,,,,2,3.7
148,51,2023-06-08 11:10:00,17.05,Pending,Cash,In-store,3,2,3.04,,,,,5,3.41
149,527,2024-05-01 12:04:00,3.43,Pending,Mobile Pay,Online,NULL,2,0.62,,,,,1,3.43
150,580,2023-12-26 18:08:00,11.84,Pending,Cash,In-store,2,2,1.75,,,,,4,2.96
151,148,2023-08-10 12:33:00,30.85,Pending,Cash,Online,NULL,NULL,0,,,,,5,6.17
152,62,2023-06-28 09:14:00,2.96,Pending,Mobile Pay,In-store,3,2,0.72,,,,,1,2.96
153,438,2024-01-15 16:50:00,14.04,Pending,Cash,In-store,2,NULL,0,,,,,4,3.51
154,149,2023-07-03 15:49:00,15.12,Pending,Mobile Pay,In-store,3,NULL,0,,,,,4,3.78
155,705,2024-01-13 15:01:00,11.22,Pending,Credit Card,In-store,3,NULL,0,,,,,3,3.74
156,121,2024-03-16 14:16:00,23.84,Pending,Mobile Pay,In-store,3,NULL,0,,,,,4,5.96
157,571,2024-05-23 12:09:00,4.33,Pending,Credit Card,In-store,3,4,0.9,,,,,1,4.33
158,607,2024-04-14 12:18:00,13.98,Pending,Cash,Online,NULL,5,3.19,,,,,3,4.66
159,542,2023-11-15 19:55:00,11.06,Pending,Cash,In-store,3,NULL,0,,,,,2,5.53
160,40,2023-10-21 10:34:00,4.82,Pending,Credit Card,In-store,1,NULL,0,,,,,1,4.82
161,702,2023-11-27 15:47:00,4.33,Pending,Credit Card,In-store,2,NULL,0,,,,,1,4.33
162,411,2023-10-22 13:23:00,20.24,Pending,Mobile Pay,In-store,2,NULL,0,,,,,4,5.06
163,435,2023-08-10 16:08:00,19.44,Pending,Cash,Online,NULL,NULL,0,,,,,3,6.48
164,627,2023-12-03 11:15:00,19.56,Pending,Cash,Online,NULL,5,3.32,,,,,4,4.89
165,504,2023-07-19 17:43:00,12.16,Pending,Credit Card,In-store,1,3,2.76,,,,,4,3.04
166,644,2024-02-24 14:09:00,24.1,Pending,Cash,Online,NULL,NULL,0,,,,,5,4.82
167,134,2023-10-29 12:25:00,3.51,Pending,Mobile Pay,In-store,1,4,0.86,,,,,1,3.51
168,6,2024-05-13 12:20:00,8.66,Pending,Cash,In-store,3,NULL,0,,,,,2,4.33
169,538,2023-10-25 17:35:00,5.92,Pending,Cash,In-store,1,NULL,0,,,,,2,2.96
170,648,2023-12-31 14:53:00,13.72,Pending,Mobile Pay,Online,NULL,NULL,0,,,,,4,3.43
171,634,2024-01-07 19:48:00,19.44,Pending,Mobile Pay,Online,NULL,NULL,0,,,,,3,6.48
172,103,2023-12-15 20:46:00,11.84,Pending,Cash,In-store,3,NULL,0,,,,,4,2.96
173,600,2024-04-21 10:24:00,3.7,Pending,Mobile Pay,Online,NULL,NULL,0,,,,,1,3.7
174,338,2024-01-31 16:46:00,7.18,Pending,Cash,In-store,3,2,1.02,,,,,2,3.59
175,517,2024-04-28 19:18:00,17.55,Pending,Mobile Pay,Online,NULL,NULL,0,,,,,5,3.51
176,358,2024-05-30 20:32:00,4.66,Pending,Mobile Pay,Online,NULL,5,0.88,,,,,1,4.66
177,697,2024-03-23 13:34:00,7.02,Pending,Cash,In-store,1,NULL,0,,,,,2,3.51
178,160,2024-04-13 10:16:00,32.4,Pending,Cash,Online,NULL,4,9.12,,,,,5,6.48
179,428,2023-07-15 17:11:00,3.59,Pending,Cash,In-store,3,5,0.79,,,,,1,3.59
180,218,2023-08-21 13:50:00,3.41,Pending,Mobile Pay,Online,NULL,NULL,0,,,,,1,3.41
181,243,2024-02-10 19:08:00,4.32,Pending,Credit Card,In-store,1,NULL,0,,,,,1,4.32
182,495,2024-04-14 15:25:00,13.98,Pending,Cash,Online,NULL,NULL,0,,,,,3,4.66
183,355,2024-02-12 16:06:00,25.3,Pending,Mobile Pay,Online,NULL,NULL,0,,,,,5,5.06
184,599,2023-07-10 12:25:00,12.16,Pending,Credit Card,Online,NULL,NULL,0,,,,,4,3.04
185,209,2023-08-22 10:24:00,6.17,Pending,Mobile Pay,In-store,1,NULL,0,,,,,1,6.17
186,176,2024-03-18 18:09:00,18.15,Pending,Credit Card,Online,NULL,4,5.15,,,,,5,3.63
187,468,2023-07-25 11:48:00,14.96,Pending,Credit Card,Online,NULL,NULL,0,,,,,4,3.74
188,121,2023-06-10 13:46:00,18.7,Pending,Cash,In-store,3,NULL,0,,,,,5,3.74
189,183,2024-03-30 16:24:00,7.4,Pending,Credit Card,Online,NULL,NULL,0,,,,,2,3.7
190,66,2024-02-06 10:09:00,12.16,Pending,Credit Card,Online,NULL,NULL,0,,,,,4,3.04
191,179,2023-09-04 20:56:00,6.38,Pending,Cash,Online,NULL,NULL,0,,,,,1,6.38
192,632,2023-10-13 10:42:00,10.53,Pending,Mobile Pay,Online,NULL,NULL,0,,,,,3,3.51
193,156,2023-10-07 08:32:00,10.12,Pending,Credit Card,In-store,3,2,1.34,,,,,2,5.06
194,614,2023-08-12 16:01:00,11.92,Pending,Credit Card,In-store,2,1,3.51,,,,,2,5.96
195,613,2024-02-23 12:19:00,14.04,Pending,Mobile Pay,Online,NULL,5,2.9,,,,,4,3.51
196,298,2024-01-01 08:11:00,24.1,Pending,Credit Card,Online,NULL,NULL,0,,,,,5,4.82
197,578,2024-02-10 19:20:00,18.9,Pending,Credit Card,Online,NULL,2,2.03,,,,,5,3.78
198,215,2023-12-15 19:25:00,10.77,Pending,Cash,In-store,2,NULL,0,,,,,3,3.59
199,667,2024-03-14 16:38:00,12.99,Pending,Cash,Online,NULL,NULL,0,,,,,3,4.33
200,635,2024-04-13 19:26:00,24.45,Pending,Mobile Pay,In-store,2,NULL,0,,,,,5,4.89
201,495,2024-01-17 08:49:00,8.66,Pending,Cash,Online,NULL,NULL,0,,,,,2,4.33
202,336,2023-08-06 14:02:00,19.56,Pending,Mobile Pay,In-store,2,NULL,0,,,,,4,4.89
203,354,2024-04-12 09:59:00,10.28,Pending,Cash,Online,NULL,NULL,0,,,,,2,5.14
204,440,2024-01-27 09:04:00,7.56,Pending,Credit Card,Online,NULL,NULL,0,,,,,2,3.78
205,647,2024-05-14 17:17:00,14.8,Pending,Cash,Online,NULL,NULL,0,,,,,5,2.96
206,400,2024-05-01 16:50:00,24.1,Pending,Cash,Online,NULL,NULL,0,,,,,5,4.82
207,663,2023-09-18 09:54:00,4.89,Pending,Mobile Pay,Online,NULL,3,1.34,,,,,1,4.89
208,674,2023-07-22 10:06:00,4.36,Pending,Mobile Pay,In-store,2,NULL,0,,,,,1,4.36
209,185,2023-10-09 18:01:00,16.59,Pending,Mobile Pay,Online,NULL,1,1.66,,,,,3,5.53
210,175,2024-04-08 14:37:00,5.92,Pending,Cash,In-store,1,NULL,0,,,,,2,2.96
211,145,2023-10-23 16:32:00,14.15,Pending,Credit Card,In-store,2,NULL,0,,,,,5,2.83
212,596,2023-11-12 14:41:00,5.14,Pending,Mobile Pay,Online,NULL,NULL,0,,,,,1,5.14
213,320,2023-08-09 13:51:00,18.51,Pending,Mobile Pay,In-store,3,NULL,0,,,,,3,6.17
214,539,2024-05-04 08:26:00,17.05,Pending,Mobile Pay,Online,NULL,4,2.56,,,,,5,3.41
215,568,2023-11-26 18:29:00,20.56,Pending,Mobile Pay,Online,NULL,NULL,0,,,,,4,5.14
216,323,2024-05-25 16:07:00,29.8,Pending,Cash,In-store,1,NULL,0,,,,,5,5.96
217,345,2023-07-10 19:51:00,9.64,Pending,Mobile Pay,In-store,3,4,1.42,,,,,2,4.82
218,692,2023-08-12 10:02:00,15.2,Pending,Credit Card,In-store,3,NULL,0,,,,,5,3.04
219,363,2024-01-28 15:59:00,11.22,Pending,Credit Card,Online,NULL,NULL,0,,,,,3,3.74
220,111,2023-10-17 17:36:00,10.23,Pending,Credit Card,In-store,3,NULL,0,,,,,3,3.41
221,404,2023-09-30 20:49:00,5.96,Pending,Credit Card,Online,NULL,1,0.91,,,,,1,5.96
222,140,2023-08-15 19:29:00,3.74,Pending,Credit Card,Online,NULL,5,0.48,,,,,1,3.74
223,136,2024-06-03 16:37:00,19.44,Pending,Credit Card,Online,NULL,NULL,0,,,,,3,6.48
224,421,2023-12-19 17:35:00,14.04,Pending,Cash,Online,NULL,NULL,0,,,,,4,3.51
225,500,2023-11-11 16:10:00,7.26,Pending,Mobile Pay,Online,NULL,NULL,0,,,,,2,3.63
226,255,2024-01-27 11:35:00,17.05,Pending,Mobile Pay,Online,NULL,5,1.95,,,,,5,3.41
227,570,2024-06-02 14:58:00,4.66,Pending,Mobile Pay,Online,NULL,3,1.19,,,,,1,4.66
228,351,2024-05-25 18:36:00,6.82,Pending,Cash,In-store,1,NULL,0,,,,,2,3.41
229,344,2024-04-27 20:33:00,5.14,Pending,Cash,In-store,3,NULL,0,,,,,1,5.14
230,654,2023-09-02 08:22:00,21.8,Pending,Credit Card,Online,NULL,NULL,0,,,,,5,4.36
231,525,2023-07-12 18:58:00,31.9,Pending,Cash,In-store,1,NULL,0,,,,,5,6.38
232,552,2024-03-22 12:06:00,17.05,Pending,Credit Card,In-store,1,NULL,0,,,,,5,3.41
233,491,2024-02-01 14:03:00,22.12,Pending,Credit Card,Online,NULL,NULL,0,,,,,4,5.53
234,461,2024-04-12 12:27:00,7.18,Pending,Credit Card,Online,NULL,NULL,0,,,,,2,3.59
235,438,2024-02-28 20:10:00,25.7,Pending,Cash,Online,NULL,NULL,0,,,,,5,5.14
236,472,2024-02-01 12:30:00,3.43,Pending,Cash,Online,NULL,NULL,0,,,,,1,3.43
237,251,2024-05-12 20:54:00,3.43,Pending,Cash,In-store,3,3,0.96,,,,,1,3.43
238,445,2024-01-12 15:13:00,18.15,Pending,Credit Card,Online,NULL,NULL,0,,,,,5,3.63
239,556,2024-05-26 11:50:00,7.4,Pending,Mobile Pay,In-store,1,NULL,0,,,,,2,3.7
240,412,2024-02-25 13:53:00,21.8,Pending,Credit Card,Online,NULL,NULL,0,,,,,5,4.36
241,128,2023-11-25 14:04:00,17.88,Pending,Credit Card,In-store,1,NULL,0,,,,,3,5.96
242,114,2024-03-13 13:31:00,17.95,Pending,Mobile Pay,Online,NULL,NULL,0,,,,,5,3.59
243,560,2023-07-10 10:57:00,17.28,Pending,Mobile Pay,In-store,1,NULL,0,,,,,4,4.32
244,210,2024-03-03 20:55:00,7.48,Pending,Cash,In-store,1,NULL,0,,,,,2,3.74
245,186,2023-08-27 16:06:00,4.32,Pending,Credit Card,In-store,1,NULL,0,,,,,1,4.32
246,528,2024-03-11 19:44:00,4.32,Pending,Cash,Online,NULL,NULL,0,,,,,1,4.32
247,506,2024-03-25 16:11:00,11.1,Pending,Cash,Online,NULL,NULL,0,,,,,3,3.7
248,349,2024-05-06 15:53:00,10.29,Pending,Mobile Pay,Online,NULL,NULL,0,,,,,3,3.43
249,133,2023-06-27 20:26:00,18.15,Pending,Credit Card,In-store,1,2,2.57,,,,,5,3.63
250,527,2024-04-07 15:40:00,17.15,Pending,Cash,Online,NULL,NULL,0,,,,,5,3.43
251,288,2023-07-10 20:28:00,5.92,Pending,Credit Card,Online,NULL,NULL,0,,,,,2,2.96
252,277,2024-05-10 19:08:00,17.44,Pending,Credit Card,In-store,3,NULL,0,,,,,4,4.36
253,563,2023-06-14 20:45:00,18.51,Pending,Credit Card,In-store,3,NULL,0,,,,,3,6.17
254,118,2023-07-11 18:13:00,21.65,Pending,Cash,Online,NULL,5,4.48,,,,,5,4.33
255,679,2024-02-17 15:00:00,11.84,Pending,Cash,Online,NULL,NULL,0,,,,,4,2.96
256,507,2024-03-03 13:07:00,21.6,Pending,Credit Card,In-store,3,NULL,0,,,,,5,4.32
257,186,2024-04-15 10:46:00,10.53,Pending,Cash,In-store,1,NULL,0,,,,,3,3.51
258,618,2024-05-29 14:11:00,9.78,Pending,Cash,Online,NULL,NULL,0,,,,,2,4.89
259,708,2023-07-06 11:26:00,15.12,Pending,Credit Card,In-store,3,NULL,0,,,,,4,3.78
